"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1087","test_hotel_list","test","Mon Nov 03 17:29:43 UTC 2025","passed","Mon Nov 03 17:29:44 UTC 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1172","Hootel Login","test","Mon Nov 03 17:29:40 UTC 2025","passed","Mon Nov 03 17:29:41 UTC 2025","TestHootel","test_hootel","",""
